"uuid";"link";"number";"roadName";"km";"endKm";"latitude";"longitude";"occurrenceType";"length";"width";"height";"lane";"track";"branch";"kmReference";"direction";"occurrenceKind";"status";"approvalStep";"createdBy";"updatedBy";"firm";"subcompany";"job";"createdAt";"foundAt";"updatedAt";"executedAt";"notes";"dueAt";"price";"construction";"idInventory";"tipoPelicula1";"campanhaMonitoracao";"corPelicula1";"resultadoPelicula1";"estacao10faixaSinalizacaoEstacao1";"estacao10corFaixaEstacao1";"estacao10resultadoEstacao1";"estacao11faixaSinalizacaoEstacao1";"estacao11corFaixaEstacao1";"estacao11resultadoEstacao1";"estacao12faixaSinalizacaoEstacao1";"estacao12corFaixaEstacao1";"estacao12resultadoEstacao1";"estacao13faixaSinalizacaoEstacao1";"estacao13corFaixaEstacao1";"estacao13resultadoEstacao1";"estacao14faixaSinalizacaoEstacao1";"estacao14corFaixaEstacao1";"estacao14resultadoEstacao1";"estacao15faixaSinalizacaoEstacao1";"estacao15corFaixaEstacao1";"estacao15resultadoEstacao1";"estacao16faixaSinalizacaoEstacao1";"estacao16corFaixaEstacao1";"estacao16resultadoEstacao1";"estacao17faixaSinalizacaoEstacao1";"estacao17corFaixaEstacao1";"estacao17resultadoEstacao1";"estacao18faixaSinalizacaoEstacao1";"estacao18corFaixaEstacao1";"estacao18resultadoEstacao1";"estacao19faixaSinalizacaoEstacao1";"estacao19corFaixaEstacao1";"estacao19resultadoEstacao1";"estacao110faixaSinalizacaoEstacao1";"estacao110corFaixaEstacao1";"estacao110resultadoEstacao1";"estacao111faixaSinalizacaoEstacao1";"estacao111corFaixaEstacao1";"estacao111resultadoEstacao1";"bordoDireitoMedia";"bordoEsquerdoMedia";"eixoMedia";"eixo2Media";"eixo3Media";"eixo4Media";"resultadoGeralLongitudinal";"mediaEscamas";"mediaLinhas";"resultadoEscamas";"resultadoLinhas";"resuladoGeralZebrado";"bordo";"resultadoGeralDispositivos";"resultadoMarcasViarias";"tipoSinHorizontal";"dispositivoEntrada";"dispositivoSaida";"elementoRefletivoBarreiraNj";"exposedArmour";"desagregation";"refletoresBarreiraNj";"corrosao";"alignment";"fixacao";"parafuso";"mediaPelicula2";"mediaPelicula3";"mediaPelicula4";"resultadoPelicula2";"resultadoPelicula3";"resultadoPelicula4";"mediaMarcasViarias";"media1";"media2";"resultado1";"resultado2";"area";"estadoChapa";"estadoSuporte";"tipoInspecao";"condicaoMesoestrutura";"condicaoInfraestrutura";"estadoGeralConservacaoDren";"atendimentoNormasAbnt";"quantidadePostesDefeito";"energiaNorma";"spdaNorma";"atendimentoPadAceExNbr";"situacaoAcesso";"faixaOcupada";"situacaoOcupacao";"areaFaixaDominioOcupada";"areaFaixaNaoEdificavelOcupada";"desnivel";"condicoesGerais";"extensaoContencao";"alturaContencao";"condicaoDrenagemSuperficial";"condicaoDrenagemSubterranea";"presencaAgua";"nivelRisco";"riscoOutrosElementosAlemRodovia";"ok";"estadoConservacaoMontante";"estadoConservacaoJusante";"okMontante";"okJusante";"oaeNumero";"nomeOae";"condicoesEstabilidadeGeral";"condicoesConservacaoGeral";"nivelVibracaoTabuleiroGeral";"notaTecnicaGeral";"notaTecnicaLaje";"notaTecnicaVigPrincipal";"notaTecnicaMesoestrutura";"notaTecnicaInfraestrutura";"notaTecnicaPistaAcesso";"guardaCopoParametros";"drenagemLimpezaParametros";"placaGabaritoVerParametros";"juntasDilatacaoParametros";"aparelhosApoioParametros";"acoesSeremTomadasParametros";"generalState";"alturaCondicao";"trincasCondicao";"refletoresCondicao";"ferrugemCondicao";"amassadosCondicao";"resultadoGeralPeliculas";"dZero";"iri";"atr";"tr";"igg";"hs";"vrd";"degrau";"icpMedio";"defeitosSeveridade0None";"defeitosSeveridade1None";"defeitosSeveridade2None";"defeitosSeveridade3None";"defeitosSeveridade4None";"mediaPelicula1";"identificacao";"tipoIts";"amount";"modeloTunel";"pavimentacaoTunel";"tipoDrenagemInterna";"tipoDrenagemExterna";"tipoIluminacao";"tipoPoste";"quantidadeLuminarias";"quantidadeLampadas";"quantidadePostes";"descricaoEdificacao";"descricaoInstalacaoEletrica";"tipoEdificacao";"areaEdificada";"tipoConstrucao";"tipoAcesso";"superficieAcesso";"tipoOcupacao";"tipoConstrucaoOcupacao";"acostamento";"numeroFaixas";"faixaSeguranca";"larguraMarginal";"calcadas";"cercaExistente";"tipoVegetacao";"inclinacao";"tipoTerraplano";"tipoRelevo";"tipoContencao";"drenagemSuperficial";"drenagemSubterranea";"tipoDrenagem";"tipoBueiro";"dimensoesMontante";"materialMontante";"dimensoesJusante";"materialJusante";"tipoEstrutura";"tipoEps";"tipoSinalizacaoVertical";"materialChapa";"diametro";"areaRetangular";"areaTriangular";"areaCircular";"materialSuporte";"tipoZebrado";"areaZebrado";"tipoMarcaViaria";"areaMarca";"relationships.job.data.id";"medicaoSpda";"minimoMarcasViarias";"colorMarcaViaria";"drainageStatus";"nomeRazaoSocial";"revestimento";"color";"estadoGeralConservacao"
"000002df-6ad8-43e8-a785-b9099383365b";"https://app.kartado.com.br/#/SharedLink/Reporting/000002df-6ad8-43e8-a785-b9099383365b/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-MONI-2026.13671";"BR-116/MG";"537.595";"537.595";"-19.87626296";"-42.13147862";"Monitoração de Faixa de Domínio - Acessos";"";"";"";"Não se aplica";"";"";"";"Norte";"Monitoração";"Executado";"Criado";"Arthur Barros";"";"Ecovias Rio Minas";"Ecovias Rio Minas";"";"2026-07-02T20:28";"2026-07-02T20:24";"2026-07-02T20:35";"2025-08-04T00:00";"";"";"0";"";"220416af-9f91-44db-8639-03b73847c4f2";"";"Monitoração 3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Periódica";"";"";"";"";"";"";"";"";"Irregulares/não autorizados, necessitando de analise do projeto perante normas técnicas vigentes (DNIT, ABNT e ANTT)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"AC 116 MG 537+595 N 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Público";"Pavimentado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PREFEITURA MUNICIPAL DE SANTA RITA DE MINAS";"";"";""
"00000504-680c-464f-8bd7-14edd806bcad";"https://app.kartado.com.br/#/SharedLink/Reporting/00000504-680c-464f-8bd7-14edd806bcad/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-CCFD-2026.00056";"BR-493/RJ";"73";"72";"-22.687664";"-43.51275";"Roçada Cerca a Cerca";"";"";"";"Acostamento";"";"";"";"Norte";"Canteiro Central e Faixa de Domínio";"Programado";"Criado";"Lucas Sathler";"Lucas Sathler";"G P Portilho - IDCT 15598";"G P Portilho";"Cronograma Cerca a Cerca BR-493 ARCO";"2026-07-22T15:41";"2026-07-22T15:40";"2026-07-22T15:41";"";"";"2026-10-31T00:00";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"00001de9-3650-402b-ab95-9db34e550acf";"https://app.kartado.com.br/#/SharedLink/Reporting/00001de9-3650-402b-ab95-9db34e550acf/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-MONI-2025.05923";"BR-493/RJ";"112.6";"112.603";"-22.81964592";"-43.80474191";"Monitoração de Sinalização Horizontal - Marcas Viárias";"3";"";"2";"Faixa 03";"";"";"";"Sul";"Monitoração";"Executado";"Compartilhado com ANTT";"Luan Poletti";"";"Ecovias Rio Minas";"Ecovias Rio Minas";"";"2025-09-07T10:44";"2024-09-07T10:44";"2025-11-05T23:36";"2024-09-07T10:44";"";"";"0";"";"f8c88fb6-b0d0-4f72-97ad-186d63ecd173";"";"Monitoração 2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"APROVADO";"Marca Viária";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"102.92";"";"";"";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SH 493 RJ 112+600 S 4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"100";"";"";"";"";"";""
"0000248f-b04d-46da-99d6-39dbfe4cc584";"https://app.kartado.com.br/#/SharedLink/Reporting/0000248f-b04d-46da-99d6-39dbfe4cc584/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-MONI-2025.78459";"BR-116/MG";"415.54";"415.54";"-18.894293066919584";"-41.94763704249899";"Monitoração de Sinalização Vertical";"";"";"";"Não se aplica";"";"";"";"Sul";"Monitoração";"Executado";"Compartilhado com ANTT";"Lucas Pereira Luiz";"";"Ecovias Rio Minas";"Ecovias Rio Minas";"";"2025-09-17T18:27";"2023-09-17T18:27";"2025-11-05T23:36";"2023-09-17T18:27";"Arquivo: SV - BR-116-MG - SUL | Descrição: R-01";"";"0";"";"ede002d6-3548-451c-9398-db6ecd1a70fb";"III";"Monitoração 1";"Vermelha";"Aprovado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"982.4";"0";"0";"Aprovado";"";"";"";"";"";"";"";"0.79";"Bom";"Bom";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Aprovado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"84.42";"SV 116 MG 415+540 S 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Regulamentação";"ACM";"1";"";"";"";"Madeira";"";"";"";"";"";"";"";"";"";"";"";"";""
"0000e714-b730-426f-84ae-1725fbeabb64";"https://app.kartado.com.br/#/SharedLink/Reporting/0000e714-b730-426f-84ae-1725fbeabb64/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-MONI-2026.14703";"BR-465/RJ";"19.963";"19.963";"-22.84417106899997";"-43.60755074699995";"Monitoração de Faixa de Domínio - Acessos";"";"";"";"Não se aplica";"";"";"";"Leste";"Monitoração";"Executado";"Criado";"Arthur Barros";"";"Ecovias Rio Minas";"Ecovias Rio Minas";"";"2026-07-02T20:28";"2026-07-02T20:24";"2026-07-02T20:35";"2022-11-01T00:00";"";"";"0";"";"711e1b49-d671-42f6-882f-c1a7e68913ad";"";"Monitoração 0 (Inicial)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Periódica";"";"";"";"";"";"";"";"";"Irregulares/não autorizados, necessitando de analise do projeto perante normas técnicas vigentes (DNIT, ABNT e ANTT)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"AC 465 RJ 019+963 L 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Público";"Não Pavimentado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PREFEITURA MUNICIPAL DE NOVA IGUACU";"";"";""
"0002b5fd-20a7-4fc6-8c71-93342662f522";"https://app.kartado.com.br/#/SharedLink/Reporting/0002b5fd-20a7-4fc6-8c71-93342662f522/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-MONI-2025.20028";"BR-116/RJ";"145.745";"145.745";"-22.66465235";"-43.25897221";"Monitoração de Sinalização Vertical";"";"4";"4";"Não se aplica";"";"";"";"Norte";"Monitoração";"Executado";"Compartilhado com ANTT";"Luan Poletti";"";"Ecovias Rio Minas";"Ecovias Rio Minas";"";"2025-09-13T21:44";"2024-09-13T21:44";"2025-11-05T23:36";"2024-09-13T21:44";"";"";"0";"";"19b67bd1-b855-4e00-9fdd-e71262fd61c3";"12";"Monitoração 2";"Azul";"Aprovado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"362.2";"0";"0";"Aprovado";"";"";"";"";"";"";"";"";"Bom";"Bom";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Aprovado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"84.3";"SV 116 RJ 145+745 N 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Apoio Operacional";"Aço";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"00030fef-b7fd-493e-a360-96eef7c7de48";"https://app.kartado.com.br/#/SharedLink/Reporting/00030fef-b7fd-493e-a360-96eef7c7de48/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-MONI-2026.18984";"BR-465/RJ";"12.833";"12.833";"-22.79464208199994";"-43.64858934699998";"Monitoração de Faixa de Domínio - Acessos";"";"";"";"Não se aplica";"";"";"";"Leste";"Monitoração";"Executado";"Criado";"Arthur Barros";"";"Ecovias Rio Minas";"Ecovias Rio Minas";"";"2026-07-02T20:28";"2026-07-02T20:24";"2026-07-02T20:37";"2022-11-01T00:00";"INTERSEÇÃO";"";"0";"";"ba8b39fd-f446-4860-99b2-28a35983cee7";"";"Monitoração 0 (Inicial)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Periódica";"";"";"";"";"";"";"";"";"Irregulares/não autorizados, necessitando de analise do projeto perante normas técnicas vigentes (DNIT, ABNT e ANTT)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"AC 465 RJ 012+833 L 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Público";"Pavimentado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PREFEITURA MUNICIPAL DE SEROPEDICA";"";"";""
"00035070-6bcb-4f64-8f8f-5a2e05703607";"https://app.kartado.com.br/#/SharedLink/Reporting/00035070-6bcb-4f64-8f8f-5a2e05703607/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-MONI-2025.12883";"BR-116/MG";"778.655";"778.655";"-21.60861068";"-42.69552149";"Monitoração de Sinalização Vertical";"";"0.5";"0.6";"Não se aplica";"";"";"";"Norte";"Monitoração";"Executado";"Compartilhado com ANTT";"Luan Poletti";"";"Ecovias Rio Minas";"Ecovias Rio Minas";"";"2025-09-13T20:51";"2024-09-13T20:51";"2025-11-05T23:37";"2024-09-13T20:51";"";"";"0";"";"74ac2d1e-a347-495c-a3e2-af9efb082d48";"X";"Monitoração 2";"Amarela";"Aprovado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"";"";"Bom";"Bom";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Aprovado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"759.2";"SV 116 MG 778+655 N 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Dispositivos Auxiliares";"ACM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"0003a3f2-ebaa-4ec1-bc2a-a2dc8cc139cb";"https://app.kartado.com.br/#/SharedLink/Reporting/0003a3f2-ebaa-4ec1-bc2a-a2dc8cc139cb/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-MONI-2025.135018";"BR-116/MG";"737";"737";"-21.37149319";"-42.47871667";"Monitoração de Pavimento Flexível";"";"";"";"Não se aplica";"";"";"";"Decrescente";"Monitoração";"Executado";"Compartilhado com ANTT";"Vidal Valério";"";"Ecovias Rio Minas";"Ecovias Rio Minas";"";"2025-09-19T08:43";"2022-09-19T08:43";"2025-11-05T23:37";"2022-09-19T08:43";"Relatório Dc: RT_ECRM_IGG_BR-116 MG | Relatório IRI: RT_ECRM_IRI_BR-116 MG | Relatório trincamento: RT_ECRM_Condições de Superfície_BR-116 MG | Relatório ATR: RT_ECRM_Condições de Superfície_BR-116 MG | Relatório IGG: RT_ECRM_IGG_BR-116 MG | Relatório VRD: RT_ECRM_Aderência_BR-116 MG | Relatório HS: RT_ECRM_Aderência_BR-116 MG";"";"0";"";"069d8d43-63b6-43ec-91ac-8f425f1ac009";"";"Monitoração 0 (Inicial)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BR-116/MG737DF1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"000472d0-0345-4dd7-919e-dbd3a8a406e1";"https://app.kartado.com.br/#/SharedLink/Reporting/000472d0-0345-4dd7-919e-dbd3a8a406e1/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-MONI-2025.18687";"BR-116/MG";"811.31";"811.31";"-21.84382892";"-42.67636649";"Monitoração de Sinalização Vertical";"";"";"";"Não se aplica";"";"";"";"Sul";"Monitoração";"Executado";"Compartilhado com ANTT";"Luan Poletti";"";"Ecovias Rio Minas";"Ecovias Rio Minas";"";"2025-09-13T21:12";"2024-09-13T21:12";"2025-11-05T23:37";"2024-09-13T21:12";"";"";"0";"";"9b292509-a281-4c2a-b387-77974740657b";"III";"Monitoração 2";"Vermelha";"Aprovado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"786.2";"0";"0";"Aprovado";"";"";"";"";"";"";"";"";"Bom";"Bom";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Aprovado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"209";"SV 116 MG 811+310 S 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Regulamentação";"ACM";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"00051efb-ba50-4413-b93e-6e7e57b60774";"https://app.kartado.com.br/#/SharedLink/Reporting/00051efb-ba50-4413-b93e-6e7e57b60774/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-MONI-2025.89775";"BR-465/RJ";"21.35";"21.35";"-22.85505543602703";"-43.601906045727496";"Monitoração de Sinalização Vertical";"";"0.8";"1";"Não se aplica";"";"";"";"Norte";"Monitoração";"Executado";"Compartilhado com ANTT";"Lucas Pereira Luiz";"";"Ecovias Rio Minas";"Ecovias Rio Minas";"";"2025-09-17T19:35";"2023-09-17T19:35";"2025-11-05T23:37";"2023-09-17T19:35";"Arquivo: SV - BR-465-RJ - NORTE | Descrição: A-32b Composta";"";"0";"";"34b1cb59-9e8b-4fe8-8575-d0050b308dd5";"I";"Monitoração 1";"Amarela";"30%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"";"0.8";"Bom";"Bom";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"32.16";"SV 465 RJ 021+350 N 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Advertência";"Aço";"";"";"";"";"Madeira";"";"";"";"";"";"";"";"";"";"";"";"";""
"00065822-06a8-4d8d-8337-aa66870a39c9";"https://app.kartado.com.br/#/SharedLink/Reporting/00065822-06a8-4d8d-8337-aa66870a39c9/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-MONI-2026.11335";"BR-116/MG";"526.131";"526.131";"-19.7814218";"-42.1330067";"Monitoração de Faixa de Domínio - Acessos";"";"";"";"Não se aplica";"";"";"";"Sul";"Monitoração";"Executado";"Criado";"Arthur Barros";"";"Ecovias Rio Minas";"Ecovias Rio Minas";"";"2026-07-02T20:28";"2026-07-02T20:23";"2026-07-02T20:34";"2023-07-01T00:00";"";"";"0";"";"76c3131d-ac89-4a24-a138-eeb98434ab61";"";"Monitoração 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Periódica";"";"";"";"";"";"";"";"";"Regulares/autorizados, em condições satisfatórias (nada a providenciar)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"AC 116 MG 526+131 S 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Público";"Pavimentado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"EcoRioMinas Concessionária De Rodovias S.A";"";"";""
"0006d284-205f-423b-9598-361b3cc0b461";"https://app.kartado.com.br/#/SharedLink/Reporting/0006d284-205f-423b-9598-361b3cc0b461/show?company=b9e4cd95-cb76-4dae-88e2-fd76c9a08110";"ERM-MONI-2025.142848";"BR-116/MG";"616.289";"616.289";"-20.47543121379706";"-42.18056418109929";"Monitoração de Drenagem Profunda (OAC)";"";"";"";"Não se aplica";"";"";"";"Sul";"Monitoração";"Executado";"Compartilhado com ANTT";"Lucas Pereira Luiz";"";"Ecovias Rio Minas";"Ecovias Rio Minas";"";"2025-09-19T20:42";"2025-09-19T20:42";"2026-01-06T13:54";"2022-09-19T20:42";"Tipo Montante :SIMPLES | Tipo Jusante: SIMPLES";"";"0";"";"cf3251e9-fd04-4bb9-9e19-c6e8121f6c1f";"";"Monitoração 0 (Inicial)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bom";"Bom";"false";"false";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"OAC BR 116 MG 616+290 S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0.5";"";"0.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
